,Unnamed: 0,Article_ID,Instance_ID,Keyword,Statistics,Statistics Type,Association,Is Child,Is Human,Group Size,Nationality,Side_new,Full_Sent,Conflict_Year,Date,Source
1077,1077,ID_Past Conflicts_AJE_318,Cold Statistics_Prompt_Instance_ID_1483,at least 40 Palestinian lives could have been saved,at least 40,Number about Deaths Preventable,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"Egypt's foreign minister, Sameh Shoukry, told Egypt's state-run news agency that if Hamas had accepted the Egyptian proposal, at least 40 Palestinian lives could have been saved.",2014,20 July 2014,AJE
1078,1078,ID_Past Conflicts_AJE_319,Cold Statistics_Prompt_Instance_ID_1484,more than 400 lives,more than 400 lives,Statistics about Deaths,people killed in the Gaza conflict,No,Yes,Many,Palestinian (context: Gaza),Palestine,"Ban, in Doha on the first leg of a Middle East tour to try to end the bloodshed that has cost more than 400 lives, met Qatar's Emir Sheikh Tamim bin Hamad al-Thani, Palestinian President Mahmoud Abbas and Qatari Foreign Minister Khaled al-Attiya before heading for Egypt.",2014,20 July 2014,AJE
1079,1079,ID_Past Conflicts_AJE_319,Cold Statistics_Prompt_Instance_ID_1485,dozens more civilians have been killed,dozens more civilians,Statistics about Deaths,civilians killed in Israeli military strikes in Gaza,No,Yes,Many,Palestinian (context: Gaza),Palestine,"While I was on route to Doha, dozens more civilians have been killed in the Israeli military strikes . . . in Gaza ... I condemn the atrocious action,",2014,20 July 2014,AJE
1080,1080,ID_Past Conflicts_AJE_319,Cold Statistics_Prompt_Instance_ID_1486,More than 60 Palestinians,More than 60 Palestinians,Statistics about Deaths,Palestinians killed in Shejaia neighbourhood shelling,No,Yes,Many,Palestinian,Palestine,More than 60 Palestinians and 13 Israeli soldiers were killed as Israel shelled Gaza's Shejaia neighbourhood and battled Hamas fighters in the bloodiest fighting in the 13-day offensive.,2014,20 July 2014,AJE
1081,1081,ID_Past Conflicts_AJE_319,Cold Statistics_Prompt_Instance_ID_1487,13 Israeli soldiers were killed,13 Israeli soldiers,Statistics about Deaths,Israeli soldiers killed in Shejaia neighbourhood,No,Yes,Many,Israeli,Israel,More than 60 Palestinians and 13 Israeli soldiers were killed as Israel shelled Gaza's Shejaia neighbourhood and battled Hamas fighters in the bloodiest fighting in the 13-day offensive.,2014,20 July 2014,AJE
1082,1082,ID_Past Conflicts_AJE_320,Cold Statistics_Prompt_Instance_ID_1488,"72 people dead, most of them women and children and over 200 injured","72 dead, over 200 injured","Number about Deaths, Number about Injured",Palestinian civilians in Shujayea (mostly women and children),Yes,Yes,Many,Palestinian,Palestine,"Heavy tank and artillery shelling has left 72 people dead, most of them women and children and over 200 injured, according to Palestinian health ministry sources.",2014,20 July 2014,AJE
1083,1083,ID_Past Conflicts_AJE_320,Cold Statistics_Prompt_Instance_ID_1489,"the number of people we shelter exceeded 50,000","exceeded 50,000",Number about Displaced/Displaced Civilians Sheltered,Displaced Palestinians sheltered by UNRWA,No,Yes,Many,Palestinian,Palestine,"""The number of people we shelter exceeded 50,000. This figure is higher than the number we hosted"" during the January 2009 invasion of Gaza, he noted.",2014,20 July 2014,AJE
1084,1084,ID_Past Conflicts_AJE_320,Cold Statistics_Prompt_Instance_ID_1490,"more than 1,470 people in 47 classrooms","more than 1,470",Number about Displaced/Displaced Civilians Sheltered,Displaced Palestinians in UNRWA school,No,Yes,Many,Palestinian,Palestine,"The school, which is on the edge of the Beach Refugee Camp in west Gaza, hosts more than 1,470 people in 47 classrooms.",2014,20 July 2014,AJE
1085,1085,ID_Past Conflicts_AJE_321,Cold Statistics_Prompt_Instance_ID_1491,"72 people dead, most of them women and children and over 200 injured","72 people dead, over 200 injured",Number about Deaths and Number about Injured,"Palestinian civilians in Shujayea, mostly women and children",Yes,Yes,Many,Palestinian,Palestine,"Heavy tank and artillery shelling has left 72 people dead, most of them women and children and over 200 injured, according to Palestinian health ministry sources.",2014,20 July 2014,AJE
1086,1086,ID_Past Conflicts_AJE_321,Cold Statistics_Prompt_Instance_ID_1492,"the number of people we shelter exceeded 50,000","exceeded 50,000",Number about Displaced/Displaced Civilians Sheltered,Displaced Palestinians sheltered by UNRWA,No,Yes,Many,Palestinian,Palestine,"""The number of people we shelter exceeded 50,000. This figure is higher than the number we hosted"", during the January 2009 invasion of Gaza, he noted.",2014,20 July 2014,AJE
1087,1087,ID_Past Conflicts_AJE_321,Cold Statistics_Prompt_Instance_ID_1493,"more than 1,470 people in 47 classrooms","more than 1,470",Number about Displaced/Displaced Civilians Sheltered,Displaced Palestinians in a UNRWA school in Gaza City,No,Yes,Many,Palestinian,Palestine,"The school, which is on the edge of the Beach Refugee Camp in west Gaza, hosts more than 1,470 people in 47 classrooms.",2014,20 July 2014,AJE
1088,1088,ID_Past Conflicts_AJE_322,Cold Statistics_Prompt_Instance_ID_1494,"1,780 families","1,780 families",Number about Displaced Families (Homes Destroyed),Palestinian families in Gaza whose homes were destroyed by Israeli air strikes,No,Yes,Many,Palestinian,Palestine,"About 1,780 families in Gaza have had their homes completely destroyed by Israeli air strikes, according to United Nations estimates, while about 96,400 people are now in need of shelter across Gaza.",2014,20 July 2014,AJE
1089,1089,ID_Past Conflicts_AJE_322,Cold Statistics_Prompt_Instance_ID_1495,"96,400 people","96,400 people",Number about Displaced Persons (Need of Shelter),People in Gaza in need of shelter due to Israeli air strikes,No,Yes,Many,Palestinian,Palestine,"About 1,780 families in Gaza have had their homes completely destroyed by Israeli air strikes, according to United Nations estimates, while about 96,400 people are now in need of shelter across Gaza.",2014,20 July 2014,AJE
1090,1090,ID_Past Conflicts_AJE_322,Cold Statistics_Prompt_Instance_ID_1496,more than 245 Palestinians have been killed,more than 245,Number about Deaths (Killed),Palestinians killed in Gaza during the violence,No,Yes,Many,Palestinian,Palestine,"The Gaza health ministry reported that more than 245 Palestinians have been killed in the violence in Gaza so far, including at least 39 children.",2014,20 July 2014,AJE
1091,1091,ID_Past Conflicts_AJE_322,Cold Statistics_Prompt_Instance_ID_1497,at least 39 children,at least 39 children,Number about Deaths (Children Killed),Palestinian children killed in Gaza during the violence,Yes,Yes,Many,Palestinian,Palestine,"The Gaza health ministry reported that more than 245 Palestinians have been killed in the violence in Gaza so far, including at least 39 children.",2014,20 July 2014,AJE
1092,1092,ID_Past Conflicts_AJE_322,Cold Statistics_Prompt_Instance_ID_1498,"1,920 Palestinians have been injured","1,920",Number about Injured (Wounded),Palestinians injured in Gaza during the violence,No,Yes,Many,Palestinian,Palestine,"Another 1,920 Palestinians have been injured.",2014,20 July 2014,AJE
1093,1093,ID_Past Conflicts_AJE_322,Cold Statistics_Prompt_Instance_ID_1499,"25,000 Palestinian children","25,000",Number about Affected Children (PTSD/Need Psychological Help),Palestinian children in Gaza suffering from PTSD and in need of psychological help,Yes,Yes,Many,Palestinian,Palestine,"The UN found that about 25,000 Palestinian children in Gaza are suffering from post-traumatic stress disorder and are in need of psychological help as a result of the ongoing Israeli military offensive.",2014,20 July 2014,AJE
1094,1094,ID_Past Conflicts_AJE_322,Cold Statistics_Prompt_Instance_ID_1500,five residents were injured,five,Number about Injured (Wounded),Residents of Daowd Tower injured by Israeli missile strike,No,Yes,Many,Palestinian,Palestine,"Five residents were injured, including one ambulance crew member.",2014,20 July 2014,AJE
1095,1095,ID_Past Conflicts_AJE_323,Cold Statistics_Prompt_Instance_ID_1502,At least seven Palestinians were reported killed,at least seven,Number about Victims (Deaths),Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"At least seven Palestinians were reported killed in the new round of air strikes early on Tuesday, bringing the death toll of Israel's two-week assault on the Gaza Strip to more than 580.",2014,21 July 2014,AJE
1096,1096,ID_Past Conflicts_AJE_323,Cold Statistics_Prompt_Instance_ID_1503,death toll ... to more than 580,more than 580,Number about Victims (Deaths),Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"At least seven Palestinians were reported killed in the new round of air strikes early on Tuesday, bringing the death toll of Israel's two-week assault on the Gaza Strip to more than 580.",2014,21 July 2014,AJE
1097,1097,ID_Past Conflicts_AJE_323,Cold Statistics_Prompt_Instance_ID_1505,"death toll ... climbed more than 583 Palestinians, including dozens of women and children",more than 583,"Number about Victims (Deaths, including women and children)",Palestinian civilians (including women and children),Yes,Yes,Many,Palestinian,Palestine,"The death toll in Israel's 14-day offensive climbed more than 583 Palestinians, including dozens of women and children.",2014,21 July 2014,AJE
1098,1098,ID_Past Conflicts_AJE_323,Cold Statistics_Prompt_Instance_ID_1506,"More than 3,600 others have been injured","more than 3,600",Number about Injured,Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"More than 3,600 others have been injured.",2014,21 July 2014,AJE
1099,1099,ID_Past Conflicts_AJE_323,Cold Statistics_Prompt_Instance_ID_1508,Monday's attacks across Gaza killed at least 103 people,at least 103,Number about Victims (Deaths),Palestinian civilians,No,Yes,Many,Palestinian,Palestine,Monday's attacks across Gaza killed at least 103 people.,2014,21 July 2014,AJE
1100,1100,ID_Past Conflicts_AJE_323,Cold Statistics_Prompt_Instance_ID_1509,"killing 11 people, including five children",11 (including five children),"Number about Victims (Deaths, including children)",Palestinian civilians (including children),Yes,Yes,Many,Palestinian,Palestine,"...an air strike hit a residential tower block in central Gaza City, killing 11 people, including five children.",2014,21 July 2014,AJE
1101,1101,ID_Past Conflicts_AJE_323,Cold Statistics_Prompt_Instance_ID_1510,"killing at least five people, including doctors and two patients",at least five,"Number about Victims (Deaths, including medical staff and patients)",Palestinian civilians (including doctors and patients),No,Yes,Many,Palestinian,Palestine,"It came after Israeli tank shells struck a hospital in Deir al-Balah, killing at least five people, including doctors and two patients who died in their hospital beds, officials said, indicating at least 70 people were wounded.",2014,21 July 2014,AJE
1102,1102,ID_Past Conflicts_AJE_323,Cold Statistics_Prompt_Instance_ID_1511,at least 70 people were wounded,at least 70,Number about Injured,Palestinian civilians (hospital patients and staff),No,Yes,Many,Palestinian,Palestine,"...officials said, indicating at least 70 people were wounded.",2014,21 July 2014,AJE
1103,1103,ID_Past Conflicts_AJE_323,Cold Statistics_Prompt_Instance_ID_1512,"more than 100,000 people have sought shelter","more than 100,000",Number about Displaced Persons (Seeking Shelter),Displaced Palestinian civilians,No,Yes,Many,Palestinian,Palestine,"Since the Israeli operation began on July 8, huge numbers of Palestinians have fled their homes, with the UN saying more than 100,000 people have sought shelter in 69 schools run by its Palestinian refugee agency, UNRWA.",2014,21 July 2014,AJE
1104,1104,ID_Past Conflicts_AJE_324,Cold Statistics_Prompt_Instance_ID_1513,at least 72 people dead,at least 72,Number about Deaths,Palestinian civilians (most women and children) killed in Shujayea neighbourhood,Yes,Yes,Many,Palestinian,Palestine,"Heavy tank and artillery shelling left at least 72 people dead, most of them women and children, and over 200 injured, according to Palestinian health ministry sources.",2014,21 July 2014,AJE
1105,1105,ID_Past Conflicts_AJE_324,Cold Statistics_Prompt_Instance_ID_1514,over 200 injured,over 200,Number about Injured,Palestinian civilians injured in Shujayea neighbourhood,Yes,Yes,Many,Palestinian,Palestine,"Heavy tank and artillery shelling left at least 72 people dead, most of them women and children, and over 200 injured, according to Palestinian health ministry sources.",2014,21 July 2014,AJE
1106,1106,ID_Past Conflicts_AJE_324,Cold Statistics_Prompt_Instance_ID_1515,At least 508 Palestinians have been killed,At least 508,Number about Deaths,Palestinian civilians killed since start of Operation Protective Edge,Yes,Yes,Many,Palestinian,Palestine,"At least 508 Palestinians have been killed since the start of Israel's ""Operation Protective Edge"" on July 8, of which, the UN says, the majority were civilians.",2014,21 July 2014,AJE
1107,1107,ID_Past Conflicts_AJE_324,Cold Statistics_Prompt_Instance_ID_1516,"At least 20 Israelis, mostly soldiers, have also been killed",At least 20,Number about Deaths,Israeli casualties (mostly soldiers) killed since start of Operation Protective Edge,No,Yes,Many,Israeli,Israel,"At least 20 Israelis, mostly soldiers, have also been killed.",2014,21 July 2014,AJE
1108,1108,ID_Past Conflicts_AJE_324,Cold Statistics_Prompt_Instance_ID_1517,"17 people were killed, including women and children, in Khan Younis",17,Number about Deaths,Palestinian family members (including women and children) killed in Khan Younis,Yes,Yes,Many,Palestinian,Palestine,"She said that the Gaza health ministry confirmed that a family home was hit by tank shelling and 17 people were killed, including women and children, in Khan Younis,",2014,21 July 2014,AJE
1109,1109,ID_Past Conflicts_AJE_324,Cold Statistics_Prompt_Instance_ID_1518,"killing up to nine people, including four children and an eight-month-old baby",up to nine,Number about Deaths,Palestinian civilians (including four children and an eight-month-old baby) killed in Rafah,Yes,Yes,Many,Palestinian,Palestine,"while a four-storey building was hit in Rafah, killing up to nine people, including four children and an eight-month-old baby.",2014,21 July 2014,AJE
1110,1110,ID_Past Conflicts_AJE_325,Cold Statistics_Prompt_Instance_ID_1519,more than 580,more than 580,Number about Deaths (Palestinian civilians),Palestinian civilians killed in Gaza,No,Yes,Many,Palestinian,Palestine,"Israel has pummelled Gaza for a 14th day, raising the Palestinian death toll to more than 580, as ceasefire efforts continue in Doha and Cairo.",2014,21 July 2014,AJE
1111,1111,ID_Past Conflicts_AJE_325,Cold Statistics_Prompt_Instance_ID_1520,most of the dead were civilians,most of the dead,Proportion of Deaths (Civilians),Civilians among the dead in Gaza,No,Yes,Many,Palestinian,Palestine,as it emerged most of the dead were civilians.,2014,21 July 2014,AJE
1112,1112,ID_Past Conflicts_AJE_325,Cold Statistics_Prompt_Instance_ID_1521,at least 56 people including 16 children,at least 56 people including 16 children,Number about Deaths (Civilians and Children),Civilians and children killed in Gaza on Monday,Yes,Yes,Many,Palestinian,Palestine,"Monday's attacks across Gaza killed at least 56 people including 16 children, bringing the overall death toll since Israel launched its operation on July 8 to 583 Palestinians, according to figures provided by Gaza emergency services spokesman Ashraf al-Qudra.",2014,21 July 2014,AJE
1113,1113,ID_Past Conflicts_AJE_325,Cold Statistics_Prompt_Instance_ID_1522,583 Palestinians,583,Number about Deaths (Palestinians),Palestinians killed since July 8,No,Yes,Many,Palestinian,Palestine,"bringing the overall death toll since Israel launched its operation on July 8 to 583 Palestinians, according to figures provided by Gaza emergency services spokesman Ashraf al-Qudra.",2014,21 July 2014,AJE
1114,1114,ID_Past Conflicts_AJE_325,Cold Statistics_Prompt_Instance_ID_1523,"More than 3,600 Palestinians have been injured","More than 3,600",Number about Injured (Palestinians),Palestinians injured in Gaza,No,Yes,Many,Palestinian,Palestine,"More than 3,600 Palestinians have been injured in the attacks.",2014,21 July 2014,AJE
1115,1115,ID_Past Conflicts_AJE_325,Cold Statistics_Prompt_Instance_ID_1524,"killing 11 people, including five children","11 people, including five children",Number about Deaths (Civilians and Children),Civilians and children killed in air strike on residential tower block,Yes,Yes,Many,Palestinian,Palestine,"an air strike hit a residential tower block in central Gaza City, killing 11 people, including five children.",2014,21 July 2014,AJE
1116,1116,ID_Past Conflicts_AJE_325,Cold Statistics_Prompt_Instance_ID_1525,"killing at least five people, including doctors","at least five people, including doctors","Number about Deaths (Civilians, including medical staff)",Civilians and doctors killed in hospital shelling,No,Yes,Many,Palestinian,Palestine,"It came after Israeli tank shells struck a hospital in Deir al-Balah, killing at least five people, including doctors, officials said, indicating at least 70 people were wounded.",2014,21 July 2014,AJE
1117,1117,ID_Past Conflicts_AJE_325,Cold Statistics_Prompt_Instance_ID_1526,at least 70 people were wounded,at least 70,Number about Injured (Civilians),Civilians wounded in hospital shelling,No,Yes,Many,Palestinian,Palestine,"officials said, indicating at least 70 people were wounded.",2014,21 July 2014,AJE
1118,1118,ID_Past Conflicts_AJE_325,Cold Statistics_Prompt_Instance_ID_1527,"more than 100,000 people have sought shelter","more than 100,000",Number about Displaced (Palestinians seeking shelter),Palestinians displaced and seeking shelter in UNRWA schools,No,Yes,Many,Palestinian,Palestine,"Since the Israeli operation began on July 8, huge numbers of Palestinians have fled their homes, with the UN saying more than 100,000 people have sought shelter in 69 schools run by its Palestinian refugee agency (UNRWA).",2014,21 July 2014,AJE
1119,1119,ID_Past Conflicts_AJE_327,Cold Statistics_Prompt_Instance_ID_1528,killing at least five people,at least five,Number about Deaths,people killed in the shelling of al-Aqsa Hospital,No,Yes,Many,Palestinian,Palestine,"Israeli tanks have shelled a hospital in the central Gaza Strip, killing at least five people and wounding at least another 50.",2014,21 July 2014,AJE
1120,1120,ID_Past Conflicts_AJE_327,Cold Statistics_Prompt_Instance_ID_1529,wounding at least another 50,at least another 50,Number about Injured,people wounded in the shelling of al-Aqsa Hospital,No,Yes,Many,Palestinian,Palestine,"Israeli tanks have shelled a hospital in the central Gaza Strip, killing at least five people and wounding at least another 50.",2014,21 July 2014,AJE
1121,1121,ID_Past Conflicts_AJE_327,Cold Statistics_Prompt_Instance_ID_1530,another 31 Gazans killed,31,Number about Deaths,Gazans killed in a series of strikes on Monday,No,Yes,Many,Palestinian,Palestine,"with another 31 Gazans killed in a series of strikes on Monday even as the US and the UN demanded an ""immediate ceasefire"".",2014,21 July 2014,AJE
1122,1122,ID_Past Conflicts_AJE_327,Cold Statistics_Prompt_Instance_ID_1531,at least 72 people were killed,at least 72,Number about Deaths,people killed in central Gaza during an Israeli assault,No,Yes,Many,Palestinian,Palestine,"On Sunday, at least 72 people were killed in central Gaza during an Israeli assault that destroyed much of the Shujayea district and left charred bodies lying in the streets.",2014,21 July 2014,AJE
1123,1123,ID_Past Conflicts_AJE_327,Cold Statistics_Prompt_Instance_ID_1532,another 68 bodies from the rubble,68,Number about Deaths,bodies pulled from the rubble in central Gaza,No,Yes,Many,Palestinian,Palestine,"Medics pulled another 68 bodies from the rubble early on Monday, Ashraf al-Qudra, Gaza's emergency services spokesman, said.",2014,21 July 2014,AJE
1124,1124,ID_Past Conflicts_AJE_327,Cold Statistics_Prompt_Instance_ID_1533,At least 550 Palestinians have been killed,at least 550,Number about Deaths,Palestinians killed since the conflict escalated two weeks ago,No,Yes,Many,Palestinian,Palestine,"At least 550 Palestinians have been killed since the conflict escalated two weeks ago, most of them civilians.",2014,21 July 2014,AJE
1125,1125,ID_Past Conflicts_AJE_328,Cold Statistics_Prompt_Instance_ID_1535,killed more than 100 people,more than 100,Number about Deaths (Civilians killed),Civilians in Gaza affected by Israeli shelling,No,Yes,Many,Palestinian,Palestine,organised after a day of intense Israeli shelling in Gaza killed more than 100 people.,2014,21 July 2014,AJE
1126,1126,ID_Past Conflicts_AJE_328,Cold Statistics_Prompt_Instance_ID_1536,photos of children killed,"children (number not specified, but implied multiple)","Number about Deaths (Children killed) - implied multiple, but no explicit number",Children killed during the offensive in Gaza,Yes,Yes,Many,Palestinian,Palestine,demonstrators held posters with the photos of children killed during the offensive,2014,21 July 2014,AJE
1127,1127,ID_Past Conflicts_AJE_328,Cold Statistics_Prompt_Instance_ID_1538,three teenage Jewish settlers,three,Number about Deaths (Teenagers killed),Three teenage Jewish settlers (murdered in June),Yes,Yes,Many,Israeli,Israel,an apparent revenge attack for the murder of three teenage Jewish settlers in June.,2014,21 July 2014,AJE
1128,1128,ID_Past Conflicts_AJE_328,Cold Statistics_Prompt_Instance_ID_1540,Nearly 700 people were arrested,Nearly 700,Number about Arrests (Civilians arrested),People arrested after protests (Palestinian citizens),No,Yes,Many,Palestinian,Palestine,"Nearly 700 people were arrested after those protests, rights groups say",2014,21 July 2014,AJE
1129,1129,ID_Past Conflicts_AJE_328,Cold Statistics_Prompt_Instance_ID_1541,including 224 from East Jerusalem,224,Number about Arrests (Civilians arrested from East Jerusalem),People from East Jerusalem arrested after protests,No,Yes,Many,Palestinian,Palestine,including 224 from East Jerusalem.,2014,21 July 2014,AJE
1130,1130,ID_Past Conflicts_AJE_329,Cold Statistics_Prompt_Instance_ID_1543,72 people dead,72 people dead,Number of civilians killed in a single incident,Civilians killed in Shujayea on a single day,No,Yes,Many,Palestinian,Palestine,"Yesterday's carnage left 72 people dead, according to the Palestinian health ministry statement.",2014,21 July 2014,AJE
1131,1131,ID_Past Conflicts_AJE_329,Cold Statistics_Prompt_Instance_ID_1544,"Nearly all of the dead were women, children, and elderly men",Nearly all of the dead,"Proportion of victims by demographic (women, children, elderly)","Women, children, and elderly men killed in Shujayea",Yes,Yes,Many,Palestinian,Palestine,"Nearly all of the dead were women, children, and elderly men.",2014,21 July 2014,AJE
1132,1132,ID_Past Conflicts_AJE_329,Cold Statistics_Prompt_Instance_ID_1545,506 people killed,506 people killed,Cumulative number of civilians killed since start of assault,Civilians killed in Gaza since July 8,No,Yes,Many,Palestinian,Palestine,"Gaza's latest death toll climbed to 506 people killed and more than 3,150 injured since the start of Israel's assault on July 8.",2014,21 July 2014,AJE
1133,1133,ID_Past Conflicts_AJE_329,Cold Statistics_Prompt_Instance_ID_1546,"more than 3,150 injured","more than 3,150 injured",Cumulative number of civilians injured since start of assault,Civilians injured in Gaza since July 8,No,Yes,Many,Palestinian,Palestine,"Gaza's latest death toll climbed to 506 people killed and more than 3,150 injured since the start of Israel's assault on July 8.",2014,21 July 2014,AJE
1134,1134,ID_Past Conflicts_AJE_329,Cold Statistics_Prompt_Instance_ID_1547,"family of 10, most of them women and children",family of 10,Number of civilians (mostly women and children) targeted in a single incident,"Family targeted in rescue attempt, most women and children",Yes,Yes,Many,Palestinian,Palestine,"Jaber was on a rescue mission trying to save a family of 10, most of them women and children.",2014,21 July 2014,AJE
1135,1135,ID_Past Conflicts_AJE_329,Cold Statistics_Prompt_Instance_ID_1548,"three children, all injured","three children, all injured",Number of children injured in a single family,Children of Iman Mansour injured,Yes,Yes,Many,Palestinian,Palestine,"Her three children, all injured, are receiving medical treatment at Shifa hospital.",2014,21 July 2014,AJE
1136,1136,ID_Past Conflicts_AJE_329,Cold Statistics_Prompt_Instance_ID_1549,seven of his cousins were dead,seven of his cousins were dead,Number of family members killed,Seven cousins of Mahmoud al-Sheikh Khail killed,No,Yes,Many,Palestinian,Palestine,Paramedics confirmed that seven of his cousins were dead.,2014,21 July 2014,AJE
1137,1137,ID_Past Conflicts_AJE_330,Cold Statistics_Prompt_Instance_ID_1550,"exceeds 50,000","exceeds 50,000",Number about Displaced Victims,displaced Palestinians seeking shelter in Gaza,No,Yes,Many,Palestinian,Palestine,"The UNRWA says the number of displaced Palestinians seeking shelter in Gaza now exceeds 50,000 in 44 UN schools.",2014,21 July 2014,AJE
1138,1138,ID_Past Conflicts_AJE_330,Cold Statistics_Prompt_Instance_ID_1551,1.2 million,1.2 million,Number about Refugees Dependent on Aid,refugees served by UNRWA,No,Yes,Many,Palestinian,Palestine,"The UNRWA is especially concerned by the impact this is having on the 1.2 million refugees it serves, the majority of whom were already reliant on food handouts and other assistance from the organisation.",2014,21 July 2014,AJE
1139,1139,ID_Past Conflicts_AJE_331,Cold Statistics_Prompt_Instance_ID_1552,death toll,passed 500,Number about Deaths,Palestinian civilians in Gaza Strip,No,Yes,Many,Palestinian,Palestine,"the death toll in the Gaza Strip passed 500, the Gaza health ministry said.",2014,21 July 2014,AJE
1140,1140,ID_Past Conflicts_AJE_331,Cold Statistics_Prompt_Instance_ID_1553,More than 60 Palestinians,More than 60,Number about Deaths,Palestinian civilians in Shujayea neighbourhood,No,Yes,Many,Palestinian,Palestine,More than 60 Palestinians and 13 Israeli soldiers were killed overnight in Gaza's Shujayea neighbourhood.,2014,21 July 2014,AJE
1141,1141,ID_Past Conflicts_AJE_331,Cold Statistics_Prompt_Instance_ID_1554,13 Israeli soldiers,13,Number about Deaths,Israeli soldiers,No,Yes,Many,Israeli,Israel,More than 60 Palestinians and 13 Israeli soldiers were killed overnight in Gaza's Shujayea neighbourhood.,2014,21 July 2014,AJE
1142,1142,ID_Past Conflicts_AJE_331,Cold Statistics_Prompt_Instance_ID_1555,At least 508 Palestinians,At least 508,Number about Deaths,Palestinian civilians in Gaza,No,Yes,Many,Palestinian,Palestine,"At least 508 Palestinians have been killed since the start of Israel's ""Operation Protective Edge"" on July 8, of which the UN says the majority were civilians.",2014,21 July 2014,AJE
1143,1143,ID_Past Conflicts_AJE_331,Cold Statistics_Prompt_Instance_ID_1556,At least 20 Israelis,At least 20,Number about Deaths,"Israelis, mostly soldiers",No,Yes,Many,Israeli,Israel,"At least 20 Israelis, mostly soldiers, have also been killed.",2014,21 July 2014,AJE
1144,1144,ID_Past Conflicts_AJE_331,Cold Statistics_Prompt_Instance_ID_1557,"17 people were killed, including women and children",17,Number about Deaths,"Family in Khan Younis, including women and children",Yes,Yes,Many,Palestinian,Palestine,"She said that the Gaza health ministry confirmed that a family home was hit by tank shelling and 17 people were killed, including women and children in Khan Younis,",2014,21 July 2014,AJE
1145,1145,ID_Past Conflicts_AJE_331,Cold Statistics_Prompt_Instance_ID_1558,"killing up to nine people, including four children and an eight-month-old baby",up to nine,Number about Deaths,"Residents of a four-storey building in Rafah, including children and a baby",Yes,Yes,Many,Palestinian,Palestine,"while a four-storey building was hit in Rafah, killing up to nine people, including four children and an eight-month-old baby.",2014,21 July 2014,AJE
1146,1146,ID_Past Conflicts_AJE_332,Cold Statistics_Prompt_Instance_ID_1559,killing at least five people,at least five,Number about Deaths,people killed in al-Aqsa Hospital shelling,No,Yes,Many,Palestinian,Palestine,"Israeli tanks have shelled a hospital in the central Gaza Strip, killing at least five people and wounding at suppose another 50.",2014,21 July 2014,AJE
1147,1147,ID_Past Conflicts_AJE_332,Cold Statistics_Prompt_Instance_ID_1560,wounding at least another 50,at least another 50,Number about Injured,people wounded in al-Aqsa Hospital shelling,No,Yes,Many,Palestinian,Palestine,"Israeli tanks have shelled a hospital in the central Gaza Strip, killing at least five people and wounding at least another 50.",2014,21 July 2014,AJE
1148,1148,ID_Past Conflicts_AJE_332,Cold Statistics_Prompt_Instance_ID_1561,another 31 Gazans killed,31,Number about Deaths,Gazans killed in a series of strikes on Monday,No,Yes,Many,Palestinian,Palestine,"with another 31 Gazans killed in a series of strikes on Monday even as the US and the UN demanded an ""immediate ceasefire"".",2014,21 July 2014,AJE
1149,1149,ID_Past Conflicts_AJE_332,Cold Statistics_Prompt_Instance_ID_1562,troops killed 10 Hamas fighters,10,"Number about Deaths (combatants, not civilians)",Hamas fighters killed by Israeli troops,No,Yes,Many,Palestinian,Palestine,And Israel said troops killed 10 Hamas fighters after they came over the border through a network of tunnels that the army says it has been trying to destroy in an intensive four-day ground operation.,2014,21 July 2014,AJE
1150,1150,ID_Past Conflicts_AJE_332,Cold Statistics_Prompt_Instance_ID_1563,at least 72 people were killed,at least 72,Number about Deaths,people killed in central Gaza during Israeli assault,No,Yes,Many,Palestinian,Palestine,"On Sunday, at least 72 people were killed in central Gaza during an Israeli assault that destroyed much of the Shujayea district and left charred bodies lying in the streets.",2014,21 July 2014,AJE
1151,1151,ID_Past Conflicts_AJE_332,Cold Statistics_Prompt_Instance_ID_1564,another 68 bodies,68,Number about Deaths (bodies pulled from rubble),bodies pulled from rubble in Gaza,No,Yes,Many,Palestinian,Palestine,"Medics pulled another 68 bodies from the rubble early on Monday, Ashraf al-Qudra, Gaza's emergency services spokesman, said.",2014,21 July 2014,AJE
1152,1152,ID_Past Conflicts_AJE_332,Cold Statistics_Prompt_Instance_ID_1565,hundreds of people could be seen flooding out,hundreds,Number about Displaced,people fleeing Beit Hanoun,No,Yes,Many,Palestinian,Palestine,"Elsewhere, hundreds of people could be seen flooding out of the northern Gaza town of Beit Hanoun on Monday.",2014,21 July 2014,AJE
1153,1153,ID_Past Conflicts_AJE_332,Cold Statistics_Prompt_Instance_ID_1566,At least 550 Palestinians have been killed,at least 550,Number about Deaths,Palestinians killed since conflict escalated,No,Yes,Many,Palestinian,Palestine,"At least 550 Palestinians have been killed since the conflict escalated two weeks ago, most of them civilians.",2014,21 July 2014,AJE
1154,1154,ID_Past Conflicts_AJE_332,Cold Statistics_Prompt_Instance_ID_1567,Eighteen Israeli soldiers and two civilians have died,Eighteen Israeli soldiers and two civilians,Number about Deaths (soldiers and civilians),Israeli soldiers and civilians killed,No,Yes,Many,Israeli,Israel,Eighteen Israeli soldiers and two civilians have died.,2014,21 July 2014,AJE
